team,ORTG,DRTG
chalon,117.3,111.0
strasbourg,112.5,111.1
Levallois,110.7,110.6
Nanterre,115.7,111.4
Villeurbanne,111.1,101.2
Gravelines,109.2,111.6
le_mans,112.5,106.6
Limoges,113.7,110.9
Bourg,110.9, 108.9
Dijon,108.6,102.9
Pau,107.6,101.0
Cholet,108.4,115.7
Chalons,110.0,116.7
le_portel,104.6,112.1
Monaco,107.9,103.8
Boulazac,107.0,108.0
Fos,104.3,113.0
Antibes,100.5,113.5
