team,ORTG,DRTG
chalon,118,111.2
strasbourg,112.7,110.3
Levallois,110.7,110.5
Nanterre,115.4,110.4
Villeurbanne,111.1,101.2
Gravelines,109.4,112.5
le_mans,112.5,107.2
Limoges,113.0,111.0
Bourg,110.7, 108.0
Dijon,107.5,102.9
Pau,107.6,100.9
Cholet,107.4,115.7
Chalons,109.2,117.2
le_portel,104.6,112.5
Monaco,107.7,104.0
Boulazac,107.0,107.8
Fos,104.5,113.0
Antibes,99.9,112.9
